state,date,income_mean,income_median
Johor,25569,237,
Johor,27030,382,269
Johor,27760,513,370
Johor,28856,731,518
Johor,30682,1065,793
Johor,31778,1060,816
Johor,32509,1150,880
Johor,33604,1713,1225
Johor,34700,2138,1610
Johor,35431,2772,2056
Johor,36161,2646,2012
Johor,37257,2963,2212
Johor,37987,3076,2325
Johor,39083,3457,2726
Johor,39814,3835,2958
Johor,2012,4658,3650
Kedah,2012,3425,2633
Kelantan,2012,3168,2276
Melaka,2012,4759,3923
Negeri Sembilan,2012,4576,3575
Pahang,2012,3745,3067
Kedah,2012,189,
Kedah,2012,256,151
Kedah,2012,306,193
Kedah,2012,382,259
Kedah,2012,690,472
Kedah,2012,718,531
Kedah,2012,749,552
Kedah,2012,1048,758
Kedah,2012,1295,990
Kedah,2012,1590,1171
Kedah,2012,1612,1225
Kedah,2012,1966,1451
Kedah,2012,2126,1607
Kedah,2012,2408,1756
Kedah,2012,2667,1966
Perak,2012,3548,2665
Perlis,2012,3538,2387
Pulau Pinang,2012,5055,4039
Sabah,2012,4013,2860
Sarawak,2012,4293,3047
Selangor,2012,7023,5353
Kelantan,2012,151,
Kelantan,2012,231,108
Kelantan,2012,269,163
Kelantan,2012,341,256
Kelantan,2012,625,436
Kelantan,2012,667,482
Kelantan,2012,712,528
Kelantan,2012,907,632
Kelantan,2012,1091,789
Kelantan,2012,1249,872
Kelantan,2012,1314,946
Kelantan,2012,1674,1154
Kelantan,2012,1829,1258
Kelantan,2012,2143,1510
Kelantan,2012,2536,1713
Terengganu,2012,3967,3034
Kuala Lumpur,2012,8586,5847
Labuan,2012,6317,5063
Putrajaya,2012,8101,6486
Johor,2014,6207,5197
Kedah,2014,4478,3451
Melaka,2014,265,
Melaka,2014,410,255
Melaka,2014,568,350
Melaka,2014,772,528
Melaka,2014,1040,738
Melaka,2014,1034,780
Melaka,2014,1084,828
Melaka,2014,1459,1118
Melaka,2014,1843,1391
Melaka,2014,2276,1793
Melaka,2014,2260,1715
Melaka,2014,2650,2051
Melaka,2014,2791,2308
Melaka,2014,3421,2717
Melaka,2014,4184,3005
Kelantan,2014,3715,2716
Melaka,2014,6046,5029
Negeri Sembilan,2014,5271,4128
Pahang,2014,4343,3389
Perak,2014,4268,3451
Perlis,2014,4445,3500
Negeri Sembilan,2014,286,
Negeri Sembilan,2014,386,273
Negeri Sembilan,2014,505,348
Negeri Sembilan,2014,629,486
Negeri Sembilan,2014,1039,753
Negeri Sembilan,2014,908,674
Negeri Sembilan,2014,1083,842
Negeri Sembilan,2014,1380,987
Negeri Sembilan,2014,1767,1358
Negeri Sembilan,2014,2378,1731
Negeri Sembilan,2014,2335,1777
Negeri Sembilan,2014,2739,2080
Negeri Sembilan,2014,2886,2288
Negeri Sembilan,2014,3336,2556
Negeri Sembilan,2014,3540,2711
Pulau Pinang,2014,5993,4702
Sabah,2014,4879,3745
Sarawak,2014,4934,3778
Selangor,2014,8252,6214
Terengganu,2014,4816,3777
Kuala Lumpur,2014,10629,7620
Pahang,2014,286,
Pahang,2014,305,210
Pahang,2014,477,324
Pahang,2014,702,481
Pahang,2014,960,731
Pahang,2014,900,697
Pahang,2014,961,764
Pahang,2014,1262,957
Pahang,2014,1436,1138
Pahang,2014,1632,1259
Pahang,2014,1482,1202
Pahang,2014,1991,1423
Pahang,2014,2410,1783
Pahang,2014,2995,2235
Pahang,2014,3279,2479
Labuan,2014,7591,5684
Putrajaya,2014,10401,7512
Johor,2016,6928,5652
Kedah,2016,4971,3811
Kelantan,2016,4214,3079
Melaka,2016,6849,5588
Perak,2016,254,
Perak,2016,305,213
Perak,2016,436,286
Perak,2016,559,394
Perak,2016,883,646
Perak,2016,863,659
Perak,2016,973,719
Perak,2016,1274,958
Perak,2016,1436,1102
Perak,2016,1940,1522
Perak,2016,1743,1350
Perak,2016,2153,1613
Perak,2016,2207,1732
Perak,2016,2545,1905
Perak,2016,2809,2094
Negeri Sembilan,2016,5887,4579
Pahang,2016,5012,3979
Perak,2016,5065,4006
Perlis,2016,4998,4204
Pulau Pinang,2016,6771,5409
Sabah,2016,5354,4110
Perlis,2016,140,
Perlis,2016,206,147
Perlis,2016,338,196
Perlis,2016,316,223
Perlis,2016,692,485
Perlis,2016,711,544
Perlis,2016,817,635
Perlis,2016,1040,761
Perlis,2016,1158,889
Perlis,2016,1507,1114
Perlis,2016,1431,1086
Perlis,2016,2006,1431
Perlis,2016,2046,1459
Perlis,2016,2541,1746
Perlis,2016,2617,1832
Sarawak,2016,5387,4163
Selangor,2016,9463,7225
Terengganu,2016,5776,4694
Kuala Lumpur,2016,11692,9073
Labuan,2016,8174,5928
Putrajaya,2016,11555,8275
Pulau Pinang,25569,292,
Pulau Pinang,27030,471,241
Pulau Pinang,27760,589,363
Pulau Pinang,28856,840,534
Pulau Pinang,30682,1183,812
Pulau Pinang,31778,1130,833
Pulau Pinang,32509,1326,988
Pulau Pinang,33604,1821,1365
Pulau Pinang,34700,2225,1693
Pulau Pinang,35431,3130,2338
Pulau Pinang,36161,3128,2323
Pulau Pinang,37257,3496,2572
Pulau Pinang,37987,3531,2650
Pulau Pinang,39083,4004,2902
Pulau Pinang,39814,4407,3200
Johor,2019,8013,6427
Kedah,2019,5522,4325
Kelantan,2019,4874,3563
Melaka,2019,7741,6054
Negeri Sembilan,2019,6707,5005
Pahang,2019,5667,4440
Sabah,2019,513,309
Sabah,2019,767,493
Sabah,2019,1212,749
Sabah,2019,1116,726
Sabah,2019,1264,863
Sabah,2019,1490,994
Sabah,2019,1647,1133
Sabah,2019,2057,1390
Sabah,2019,1905,1264
Sabah,2019,2406,1583
Sabah,2019,2487,1606
Sabah,2019,2837,1189
