state,date,income_mean,income_median
Johor,2012,4658,3650
Kedah,2012,3425,2633
Kelantan,2012,3168,2276
Melaka,2012,4759,3923
Negeri Sembilan,2012,4576,3575
Pahang,2012,3745,3067
Perak,2012,3548,2665
Perlis,2012,3538,2387
Pulau Pinang,2012,5055,4039
Sabah,2012,4013,2860
Sarawak,2012,4293,3047
Selangor,2012,7023,5353
Terengganu,2012,3967,3034
W.P. Kuala Lumpur,2012,8586,5847
W.P. Labuan,2012,6317,5063
W.P. Putrajaya,2012,8101,6486
Johor,2014,6207,5197
Kedah,2014,4478,3451
Kelantan,2014,3715,2716
Melaka,2014,6046,5029
Negeri Sembilan,2014,5271,4128
Pahang,2014,4343,3389
Perak,2014,4268,3451
Perlis,2014,4445,3500
Pulau Pinang,2014,5993,4702
Sabah,2014,4879,3745
Sarawak,2014,4934,3778
Selangor,2014,8252,6214
Terengganu,2014,4816,3777
W.P. Kuala Lumpur,2014,10629,7620
W.P. Labuan,2014,7591,5684
W.P. Putrajaya,2014,10401,7512
Johor,2016,6928,5652
Kedah,2016,4971,3811
Kelantan,2016,4214,3079
Melaka,2016,6849,5588
Negeri Sembilan,2016,5887,4579
Pahang,2016,5012,3979
Perak,2016,5065,4006
Perlis,2016,4998,4204
Pulau Pinang,2016,6771,5409
Sabah,2016,5354,4110
Sarawak,2016,5387,4163
Selangor,2016,9463,7225
Terengganu,2016,5776,4694
W.P. Kuala Lumpur,2016,11692,9073
W.P. Labuan,2016,8174,5928
W.P. Putrajaya,2016,11555,8275
Johor,2019,8013,6427
Kedah,2019,5522,4325
Kelantan,2019,4874,3563
Melaka,2019,7741,6054
Negeri Sembilan,2019,6707,5005
Pahang,2019,5667,4440
Perak,2019,5645,4273
Perlis,2019,5476,4594
Pulau Pinang,2019,7774,6169
Sabah,2019,5745,4235
Sarawak,2019,5959,4544
Selangor,2019,10827,8210
Terengganu,2019,6815,5545
W.P. Kuala Lumpur,2019,13257,10549
W.P. Labuan,2019,8319,6726
W.P. Putrajaya,2019,12840,9983
Johor,2020,7264,5690
Kedah,2020,5005,3829
Kelantan,2020,4411,3010
Melaka,2020,7186,5447
Negeri Sembilan,2020,6184,4478
Pahang,2020,5144,4033
Perak,2020,5081,3759
Perlis,2020,4971,4043
Pulau Pinang,2020,6850,5474
Sabah,2020,5215,3773
Sarawak,2020,5087,3831
Selangor,2020,9668,7300
Terengganu,2020,6051,4790
W.P. Kuala Lumpur,2020,11728,9093
W.P. Labuan,2020,7333,6126
W.P. Putrajaya,2020,12322,9743
Johor,2022,8517,6879
Kedah,2022,5550,4402
Kelantan,2022,4885,3614
Melaka,2022,8057,6210
Negeri Sembilan,2022,6788,5226
Pahang,2022,5777,4753
Perak,2022,5779,4494
Perlis,2022,5664,4713
Pulau Pinang,2022,8267,6502
Sabah,2022,6171,4577
Sarawak,2022,6457,4978
Selangor,2022,12233,9983
Terengganu,2022,7248,5878
W.P. Kuala Lumpur,2022,13325,10234
W.P. Labuan,2022,8250,6904
W.P. Putrajaya,2022,13473,10056
